# Data taken on 2022-08-11_165304
# Amplifier AM Modulation Voltage: 3.25 V
# RF Freq/MHz	RF Input/dBm	Power/uW	Dev/uW
70.0	0.0	386.412522	1.618957993952488
70.0	-0.5	372.16504733333335	1.650389727839927
70.0	-1.0	358.9670906666667	0.6624184451283218
70.0	-1.5	346.94640933333335	1.266255310661934
70.0	-2.0	331.01936366666666	0.5450240350173168
70.0	-2.5	314.1406543333333	0.8043027834805477
70.0	-3.0	295.46412133333337	1.040411117112631
70.0	-3.5	277.25366866666667	0.6978269142260289
70.0	-4.0	260.31140933333336	0.7575497918374019
70.0	-4.5	241.66110533333332	0.8113420024286238
70.0	-5.0	221.73357666666666	0.5484965525162621
70.0	-5.5	204.53244366666667	0.5183848796919365
70.0	-6.0	186.54123766666666	1.1422647290279164
70.0	-6.5	169.48007399999997	0.31806575712788193
70.0	-7.0	154.07340866666667	0.4225233843527345
70.0	-7.5	140.11910833333334	0.17875858374883397
70.0	-8.0	126.43388699999998	0.34160040041594397
70.0	-8.5	114.84556566666669	0.30934353883865484
70.0	-9.0	104.18355833333332	0.127117659134712
70.0	-9.5	93.85454340000001	0.25066746394996414
70.0	-10.0	84.92560280000001	0.293755125309319
70.5	0.0	411.56178266666666	1.356725592041203
70.5	-0.5	399.23002399999996	0.5648564190045687
70.5	-1.0	383.61632700000007	1.2183645188274592
70.5	-1.5	368.89878966666663	0.8739686428928026
70.5	-2.0	351.218194	1.0133696951412472
70.5	-2.5	332.64407966666664	0.6801179275095527
70.5	-3.0	312.81502900000004	0.791785908032596
70.5	-3.5	292.213457	0.47095180094959405
70.5	-4.0	270.59158833333333	1.0524709504449759
70.5	-4.5	249.668016	0.5687864746493196
70.5	-5.0	229.42089133333334	0.4671759342313021
70.5	-5.5	211.135088	0.6102487746179149
70.5	-6.0	193.77455066666667	0.24195877630887638
70.5	-6.5	177.13617533333337	0.5084169495517995
70.5	-7.0	159.61110733333334	0.1542913320514861
70.5	-7.5	144.091672	0.19734040576965806
70.5	-8.0	129.78806933333334	0.18076817158879407
70.5	-8.5	117.353364	0.06879320826942152
70.5	-9.0	106.29509466666666	0.10267723070325259
70.5	-9.5	96.14577549999998	0.12394963179890137
70.5	-10.0	86.46191680000001	0.06856865171315589
71.0	0.0	423.8809606666667	0.7616152417414506
71.0	-0.5	410.80435466666665	1.010073957132952
71.0	-1.0	395.005616	0.5260948943653919
71.0	-1.5	378.6060996666667	0.2543134595990219
71.0	-2.0	359.9267509999999	0.29735432007231094
71.0	-2.5	341.570493	0.32629091102521923
71.0	-3.0	321.282537	0.602394986669321
71.0	-3.5	300.43051199999996	0.3877416792866106
71.0	-4.0	281.8254876666667	0.4281588566344927
71.0	-4.5	260.24756699999995	0.5888004847521204
71.0	-5.0	239.47706966666667	0.5608543698203262
