# Data taken on 2022-08-14_162045
# Amplifier AM Modulation Voltage: 3.25 V
# RF Freq/MHz	RF Input/dBm	Power/uW	Dev/uW
65.0	0.0	79.2719722	0.6810834432582349
65.0	-0.5	76.9524395	0.5977612481722249
65.0	-1.0	74.06860086666667	0.3452665407081641
65.0	-1.5	70.80178636666666	0.5037804225627125
65.0	-2.0	67.65195306666666	0.28544038074046574
65.0	-2.5	63.5236728	0.3770975269080405
65.0	-3.0	59.38103433333333	0.25496616896081653
65.0	-3.5	55.490416100000004	0.17313578889835762
65.0	-4.0	51.1441612	0.2857891768907515
65.0	-4.5	47.07577916666666	0.15992015669068174
65.0	-5.0	43.635386	0.13865654011741863
65.0	-5.5	39.87848746666666	0.2514679472011937
65.0	-6.0	36.2673619	0.19430809076924727
65.0	-6.5	33.0695232	0.152828504502356
65.0	-7.0	29.833997166666666	0.1745394195073774
65.0	-7.5	26.816711966666663	0.16715574707479314
65.0	-8.0	24.395908333333335	0.10627578700667856
65.0	-8.5	21.88983226666667	0.16308441110519686
65.0	-9.0	19.801383333333334	0.09964862244685345
65.0	-9.5	17.962964066666668	0.08086590584910039
65.0	-10.0	16.212571566666664	0.11539821882599505
65.5	0.0	102.258966	0.8198467604644175
65.5	-0.5	99.90160300000001	0.7821980694881573
65.5	-1.0	96.20193386666666	0.37111867162187123
65.5	-1.5	91.82247606666665	0.5118228780094366
65.5	-2.0	87.92784273333334	0.5022780910881891
65.5	-2.5	83.04442816666666	0.5042361590134518
65.5	-3.0	77.76431553333335	0.32892134178054694
65.5	-3.5	72.76090733333334	0.42886208880348586
65.5	-4.0	67.37470036666666	0.4372528159579981
65.5	-4.5	61.79584853333333	0.2622242634677086
65.5	-5.0	57.026675133333335	0.37974994551895447
65.5	-5.5	52.151806966666655	0.25304113279886387
65.5	-6.0	47.4073594	0.2017626619859086
65.5	-6.5	43.26036886666667	0.2715633357261535
65.5	-7.0	39.460139	0.2170419666001637
65.5	-7.5	35.4510705	0.17090572381603647
65.5	-8.0	32.210565966666664	0.1917499362148494
65.5	-8.5	29.173746466666664	0.13839120165018515
65.5	-9.0	26.24424496666667	0.14951545987399512
65.5	-9.5	23.729548433333335	0.15581828911976991
65.5	-10.0	21.5607118	0.12615502022284597
66.0	0.0	131.66871166666667	0.6869552172671483
66.0	-0.5	127.87013	0.978691365259413
66.0	-1.0	123.91299833333333	0.4299440765927847
66.0	-1.5	117.17747399999999	1.0912326354436679
66.0	-2.0	112.33733200000002	0.5621605818411672
66.0	-2.5	105.33483066666668	0.6396475237656715
66.0	-3.0	99.22850116666666	0.600992372105203
66.0	-3.5	92.67548756666667	0.46373493817993244
66.0	-4.0	85.04472193333334	0.46833189694090027
66.0	-4.5	79.17080333333332	0.35301689566113137
66.0	-5.0	73.60548416666667	0.4179520227721189
66.0	-5.5	66.83840763333333	0.2912707240324693
66.0	-6.0	61.42271743333334	0.4082445015258371
66.0	-6.5	55.50074803333334	0.27110264800649264
66.0	-7.0	50.07119396666666	0.23014978941318248
66.0	-7.5	45.271274	0.29940995055386294
66.0	-8.0	40.86657056666667	0.26775911248174616
66.0	-8.5	36.80270083333333	0.160569759635199
66.0	-9.0	33.62269093333333	0.14886309539684084
66.0	-9.5	30.18506963333333	0.22646742978744702
66.0	-10.0	27.229738966666666	0.16408332547296073
66.5	0.0	163.722499	1.4175375155525847
66.5	-0.5	155.89484566666667	0.7961011463257827
66.5	-1.0	151.59978533333333	1.212434653875508
66.5	-1.5	146.03035366666666	0.7565618123589685
66.5	-2.0	137.953521	0.5610137029452427
66.5	-2.5	131.20186333333334	0.9602781947551587
66.5	-3.0	122.59894899999999	0.6890257458172371
66.5	-3.5	113.45763733333334	0.5046973190004304
66.5	-4.0	106.56422633333334	0.48685533488558547
66.5	-4.5	98.64861373333333	0.7300053937367378
66.5	-5.0	90.93101933333334	0.40296870577364813
66.5	-5.5	83.65538923333332	0.47919138893286933
66.5	-6.0	75.75249193333333	0.49933604547932303
66.5	-6.5	68.5123779	0.36055565627919767
66.5	-7.0	62.83068166666667	0.26136199621193723
66.5	-7.5	56.4614788	0.3978649189912241
66.5	-8.0	51.21904020000001	0.3726557134102379
66.5	-8.5	46.37544836666667	0.1873327347902628
66.5	-9.0	41.72188963333333	0.2436360001912664
66.5	-9.5	37.611041	0.29845931862204156
66.5	-10.0	34.05205453333333	0.21485751417962765
67.0	0.0	193.60693999999998	0.9384096747867265
67.0	-0.5	187.52744733333336	1.5956482439935034
67.0	-1.0	181.98760366666667	1.2040090818815392
67.0	-1.5	173.578316	0.8309037690836003
67.0	-2.0	166.650985	1.1359307370793632
67.0	-2.5	156.73892533333333	1.1436066178651154
67.0	-3.0	146.771612	0.7996178783994243
67.0	-3.5	137.9370836666667	0.6482814712760864
67.0	-4.0	127.22225733333333	0.8797857995631032
67.0	-4.5	117.90558766666666	0.7236264291616376
67.0	-5.0	109.53475266666668	0.49602327515237526
67.0	-5.5	99.443705	0.5469207704975804
67.0	-6.0	90.84786856666668	0.6781012368336156
67.0	-6.5	82.83514693333333	0.3930384102992934
67.0	-7.0	74.98171083333334	0.4503062244880021
67.0	-7.5	68.17954096666668	0.45073577725580954
67.0	-8.0	62.1977018	0.3035529672013767
67.0	-8.5	55.6658107	0.2709707985414233
67.0	-9.0	50.6674983	0.35429323991167255
67.0	-9.5	45.6089404	0.2517698767019331
67.0	-10.0	40.79433806666667	0.16576111660336845
67.5	0.0	227.18824899999998	2.2002250718958307
67.5	-0.5	219.346843	0.8897855773636324
