unixtime;v_center_mum;h_center_mum;v_width_mum;h_width_mum;sum_counts_roi
1657719150.825091;238.8781948090829;400.5687913492802;157.62481627905143;133.56451023546882;48633.64644381499
1657719150.8905182;238.69647532509947;400.60029845524815;158.98375517357954;135.26860794131545;48686.19893548974
1657719151.062168;238.2534292377233;401.923205485542;155.45242486617985;133.94138425898606;48560.45344316873
1657719151.3786185;237.56350935061477;403.5225755543542;157.88422632140473;135.07910128350946;48533.81468593347
1657719151.4590418;237.51055267006433;402.53886296166274;156.36703330773375;135.1514473939275;48480.185314066526
1657719151.759886;237.3091283467563;403.5923993111552;155.09693254325038;133.291892255399;48551.63452118038
1657719151.8302739;239.52484825238395;405.49393124436926;154.86920861987687;133.57265162758637;48617.48849660424
1657719152.002658;237.55517228743372;404.01703792538206;156.66758091287988;133.90035405521377;48642.859124737304
1657719152.3201911;238.39086770288492;404.1476547233413;156.98977513006741;134.80165484469705;48393.18955012141
1657719152.3960063;238.20627858608614;403.95623758462165;157.3631734896614;134.02616374142067;48492.67381067077
1657719152.5686603;237.73201502704092;403.11103090346495;155.3442838196936;133.86842185071006;48444.277514470516
1657719152.7302647;237.4701152002543;402.97114866493655;156.2048136734911;134.0370538254631;48413.13755246638
1657719153.0665216;236.67724132776203;403.07841704806293;156.42296544331467;133.33726984572027;48520.86336079218
1657719153.1315322;237.7160526714647;402.36835407740733;157.4600125878012;134.18897027287628;48487.096564187406
1657719153.2922466;238.53132287557997;402.6434981510556;155.7067988235242;132.96905456082663;48511.52525254751
1657719153.6337156;238.83425560109626;402.75764865942256;155.24021615607438;133.96930031494742;48489.757538964994
1657719153.7010422;238.96835768963356;403.43397007942605;156.26094455951372;134.86883012813516;48322.09220040398
1657719153.8807068;239.7981054582476;402.1401000799449;153.8169759144858;134.0412299691539;48560.40053225514
1657719154.2000785;240.57276734263004;402.1865182673718;154.14764504653388;134.67301766159736;48543.30833185115
1657719154.264454;237.93378940517215;404.1976553019391;159.87297618144999;134.44844648484954;48556.45344316872
1657719154.4343793;238.65706618420677;404.04941441833915;154.64966821230448;132.71982040608225;48556.73610695268
1657719154.7611287;238.9729393363458;403.2823007336227;155.7491428110762;134.30731056015614;48574.414153678335
1657719154.833615;237.83582509119915;403.8908797898667;156.41515128218467;132.93117472027424;48562.50211802744
1657719155.0180173;238.43837863023032;403.0619947259624;155.653642743347;132.86691210056026;48553.40568156857
1657719155.3339405;237.41797554504555;402.7656630062427;157.76271553188317;134.13580116283174;48426.30833185115
1657719155.3990796;237.0323765455408;403.5816414919137;157.7410495225232;133.90474478063635;48562.722485529484
1657719155.5664632;237.4250286246739;403.56010973004095;156.53886369566354;133.019238820423;48620.64299329014
1657719155.8743706;238.11449016036644;403.276354170741;156.33726946425142;134.94839203447475;48706.18107801165
1657719155.9433577;237.79687990246381;403.9684417196591;155.87356317479018;134.03643920541222;48614.36547881962
1657719156.222807;237.8061137502946;403.53634601772654;155.42504937984404;133.69082923494466;48555.12725383949
1657719156.3060613;237.57060547912153;403.778201009435;156.1507751322004;134.4586309267032;48644.039289490385
1657719156.5922375;238.24113840468232;403.3805771743011;156.3532990756959;134.42091530547665;48562.32195327435
1657719156.6640608;237.5718020939263;403.5060075602007;154.7280053223338;133.10038514924062;48519.647357073554
1657719156.829537;238.90416030353467;401.8539818291861;155.4645608144846;133.61721218136597;48445.77963249796
1657719157.14359;238.05848936895782;403.38728935796297;156.45569997893443;134.66937704185142;48487.550792886155
1657719157.2098498;238.80859123924242;404.3908515735943;155.17530565815116;134.36449476715475;48495.28266378396
1657719157.501635;238.51434939448168;404.2691892504701;157.0524465261433;133.6791991016444;48624.81044987858
1657719157.565084;238.21867998276048;403.65098188989475;156.83426923093552;134.19543554566076;48596.32618932923
1657719157.749895;237.56108176364893;403.4053943774631;156.84239686073929;133.61563639196635;48669.13663920782
