unixtime;v_center_mum;h_center_mum;v_width_mum;h_width_mum;sum_counts_roi
1657720127.981293;218.1549051472052;386.65090366378814;122.99317477012501;104.42286569830233;57123.241137993704
1657720128.3069737;217.7990613305423;386.78906887960375;122.32142764371682;104.57917915558083;56233.04220250397
1657720128.3616552;218.4474221759821;388.4200446884139;122.77716157468411;103.86862508569978;56415.73557316058
1657720128.5320146;218.62576228818247;388.4517774099667;120.6851668373712;103.84777552944023;56692.885627563024
1657720128.8325937;217.5836423588385;388.32328248846835;121.44140091318218;103.39101202648655;56802.424625543106
1657720128.8870108;217.5872296836634;387.7845452756414;123.06702351894546;103.84971560706822;56470.510308083016
1657720129.176615;217.35706867020542;387.8030393698023;122.15297737520079;102.55107372339255;56929.13004284371
1657720129.227099;217.50171742714588;386.80990277298685;123.3438460450675;104.16868428326767;57033.8472513312
1657720129.5208578;217.74635344330102;386.79192597368746;122.0549615696405;103.6362379771515;56993.17435391899
1657720129.569464;217.77921036867536;386.37642038118395;122.58786593388133;103.7379080476631;56595.40676806502
1657720129.7444327;216.95606755025148;386.2816893015299;122.86519520897596;103.45631064355725;56651.289027322404
1657720130.0614698;217.11120459675752;386.4903812996441;122.1395115886094;102.65594846427415;56365.74657881746
1657720130.1153371;217.17152284275608;385.3852765889512;122.39903111383016;103.38229668033154;56216.289940580966
1657720130.4233348;217.58798415952688;385.31507932623936;122.64073007113333;103.7562209665304;56517.96682231012
1657720130.4703865;217.4536249498245;386.4611202545728;122.00543791809886;103.47494341730004;56662.85734372951
1657720130.7585254;217.00041922765382;386.21250186830326;121.45763337836647;103.53356995991062;56556.452781648084
1657720130.8128357;216.9634661846;386.0256089059364;122.21161960535245;103.66157269722412;56667.24615957861
1657720131.0265625;217.0501798929666;385.9618686109183;121.58729616505664;103.66743155526207;56527.118120209096
1657720131.158437;217.2314807894654;386.3342678415629;121.91161809444372;104.03129388367961;56710.38442279415
1657720131.454089;216.92558445177548;386.61441675310306;121.17679900417411;104.12912948535033;56190.623561032844
1657720131.5049303;216.7341676915722;386.64562399193255;120.9905375422215;103.87642303758118;56899.059146723484
1657720131.6738582;217.50604179994065;387.45133875910244;122.47168725729492;102.96372777397161;56735.67385618012
1657720131.9728546;217.75161246903585;387.5977035588021;122.04996082074608;104.87914064337829;56285.1078215822
1657720132.0389993;217.93776132388697;387.9131431333688;120.37663815895885;103.57092652233281;56129.927656829124
1657720132.3223386;217.69523047303915;387.3994498705738;119.75942532018777;104.09472345728638;56540.74416927971
1657720132.3791053;217.9784167571147;387.0088488566619;120.9148271471306;103.7387251935053;56725.15662416945
1657720132.546012;217.69165577339095;386.53222378177543;120.62041593122302;104.08547607801513;56995.51761147712
1657720132.8559923;217.53297924182357;386.3194735972624;121.01149781969495;102.75838789110777;56470.14021374205
1657720132.9252682;217.33869167895472;386.88322164961755;121.66430431727007;102.92923753174455;56198.82183872109
1657720133.2018766;216.83734639245057;386.7430042207546;122.38134461052523;103.72205006166419;57245.450293610294
1657720133.2543585;216.79844105958574;385.7850342835103;121.20876878925617;103.52604910906604;57070.416025704806
1657720133.544958;217.2465463272222;385.58433646595483;121.81650308152207;103.6709921930216;56842.22290104917
1657720133.6124427;217.2566294224675;386.40015390640235;122.12791937193803;103.33443474187001;56916.03451964341
1657720133.9151757;217.97666189819253;386.4334457174752;122.0383316112517;103.07564239380706;56833.71165311049
1657720133.9692955;218.36280300185845;387.3124799752121;122.13652635748467;104.05997207232956;56543.49551794415
1657720134.2048154;218.65083057425844;388.01312403958775;120.83253428122515;103.84085588326028;57301.32818908425
1657720134.3562021;217.96511047453671;388.53449634020274;120.57736728320636;103.0631830998826;57020.5365099423
1657720134.5327923;217.97301642314034;388.66062629918736;121.72558444839925;102.26906569266563;56428.768010829765
1657720134.6795218;217.5329377327004;387.79260642608784;121.66463568146068;102.19481118228366;56944.92765682911
1657720135.0185566;217.2714277925995;386.79164353853423;122.31916434434683;102.33415508566208;56428.92512328199
1657720135.06894;217.12721485783464;386.66849501885747;121.48519712817405;103.61544098671872;56784.049889083704
1657720135.3646233;216.74429985181834;386.89261962566906;122.23878300934835;104.63627725613986;56532.59827243212
1657720135.419645;217.43729558519917;387.40978945303834;121.62236975998171;103.884932034294;56801.38031446781
1657720135.7173715;217.21926667330982;387.1605406972977;121.37841730189533;104.76936799902249;56445.97541842926
1657720135.766257;217.07492042507258;386.48605901428635;121.99346017799222;103.56566940816573;56719.89169013503
1657720136.065955;217.30368800024942;386.4999917098371;121.60283233551694;103.5543728103005;56747.31033160617
1657720136.1163669;216.96695588708488;386.3507454281838;122.67973822455545;103.44594449064152;57043.64075699027
1657720136.4056616;216.61492163314466;386.3487955510524;122.23186748193827;102.95699589986613;56585.578332979814
