unixtime;v_center_mum;h_center_mum;v_width_mum;h_width_mum;sum_counts_roi
1657718786.2519755;277.66772086504335;414.8205576698124;237.24410171381462;210.00881731813035;47587.775396443074
1657718786.4261506;277.42073247313095;414.23404408690334;240.24632883857305;212.3030772070357;47518.040202748954
1657718786.4756367;277.4256113579713;414.9629694308262;241.79213246466378;211.4335869091555;47567.50211802744
1657718786.6462495;278.4296361225704;415.130160435214;239.55618842344376;211.27013379355904;47653.1015857723
1657718786.9641275;278.24218060540716;415.529320105557;240.67707322118562;211.2402847744801;47586.731870897805
1657718787.027777;277.92456114616186;415.4816624488623;241.30766494585245;212.85750976827424;47659.86336079218
1657718787.3220692;277.87592428993906;415.34862753458987;240.777739725019;211.15031604691274;47487.41415367833
1657718787.3755455;277.8101264731967;415.28262401287435;240.31074365397544;211.80481657780703;47695.824071301795
1657718787.663539;276.87635393776435;415.75827042707624;241.33275965743923;211.25291581449;47605.21085440517
1657718787.7181773;277.0595849555319;415.1594334519044;241.18338046425507;212.6827813091629;47643.13996200413
1657718787.875803;276.7829464073987;415.95659213389865;240.22342652712186;210.50163460460107;47522.23398892525
1657718788.0064857;277.1669524217758;415.9927090912149;241.63112102419603;211.45740095774102;47700.00938536832
1657718788.3349295;278.1112953657948;415.57978426978684;239.33476654183093;210.56090676821034;47598.49788197255
1657718788.3905687;277.8319607778866;416.1976595180846;240.01279840114094;210.75795903306073;47703.45859248217
1657718788.5499523;277.9768978226955;416.78956632293193;237.46513270929893;211.95196919693225;47706.29113589372
1657718788.8472273;278.7138455424169;416.012226205872;238.607339688094;212.44036992170732;47688.511503395755
1657718788.9087782;278.22106137792804;415.47615344352175;238.36306505981597;213.5847466111108;47645.8727461605
1657718789.185814;278.1930717932702;415.51313494758125;239.64820951816122;213.47472221109257;47642.2202397735
1657718789.2405114;277.8192223792819;415.5305979058862;239.69920798250217;212.36248403488653;47602.40991762346
1657718789.521871;278.6229528477943;417.0836469828181;238.65903056189802;210.9446965487406;47650.537171462944
1657718789.5710034;278.3136897553509;416.63451567844027;240.63063703747886;210.3074335076342;47783.0
1657718789.7353845;279.7932841554184;414.7720921803405;240.60551400683553;211.97609553157957;47645.44920711385
1657718790.0391045;278.2513453311545;415.09955903849783;239.9636992383799;209.77707797538946;47665.85397542385
1657718790.0964448;277.41986967780514;414.1341621814605;242.72677288050824;212.66377347360248;47724.2288396118
1657718790.3850148;277.3753635450443;415.8180372039828;242.25736482060267;213.2774260367613;47650.86336079218
1657718790.4420965;277.02486846211417;415.77133649200385;242.08222878022406;213.55104901927473;47721.91112239233
1657718790.723204;277.5328356914068;416.74113879462254;242.39934831462784;212.2492434808756;47748.414153678335
1657718790.7755563;277.098562105636;415.3718490744393;240.12908108454428;210.7786597591676;47699.27327841563
1657718791.0623126;277.5719790603899;416.2294861865962;241.5393150731865;212.44463386476593;47707.672897412194
1657718791.1213696;277.7059988748584;416.05355365358344;239.26748939735856;212.5645722031291;47717.39629620026
1657718791.2779896;278.5068160379732;415.0877076853481;241.33920824823645;214.48119136510155;47648.31680396091
1657718791.5730927;277.25860607329844;413.40470813514884;239.92768404066683;211.22477563371882;47645.87698221538
1657718791.6280067;277.6094466417196;412.3277474579835;240.61078921565277;215.15439388821943;47618.496968714
1657718791.7891657;278.8717259736153;412.1673741830932;238.71945347283327;216.8568341838258;47795.41415367833
1657718792.0883977;276.3688892566881;411.13877341333244;240.9934141061972;215.63605557972224;47761.67381067076
1657718792.1449182;277.21886753909973;413.9475614140438;244.71923999897413;214.2216042097795;47621.82407130179
1657718792.4294388;277.8516049135156;415.3145827980667;243.74226078213647;213.93036348386545;47689.81892198834
1657718792.4792633;276.1337129717883;416.7134175356571;243.6732853796863;213.85925165081017;47684.048674858714
1657718792.7676203;276.20486766333204;417.5723198321077;240.33605559925638;211.90688952848132;47671.03928949039
1657718792.8200815;276.12668740357356;417.7123481920432;240.4783303659994;213.30687208230762;47564.321953274346
1657718793.1167476;276.6672572586551;418.5801831891534;242.58331180075612;211.34319291618115;47671.361242764746
1657718793.1736417;277.34144975812285;416.8581361467285;241.26403270977735;212.18571018790345;47699.78054575652
1657718793.4565132;278.5521928752678;415.85870378667266;240.45362877235567;211.97934848894462;47707.087964349106
1657718793.50635;278.66491719634377;416.6965881440743;240.22428072944882;213.68298814772749;47721.81044987859
1657718793.7982197;278.7236493839773;416.54621109034207;240.04153262017908;212.82461100353163;47792.81892198835
1657718793.8507168;278.77817428960117;416.9634513035345;238.9111837993352;210.89697144182304;47896.00000000001
1657718794.1421723;277.72779975564873;416.59662459247556;239.69141533633658;210.74910603541346;47666.68743209397
1657718794.200345;278.0258766038946;416.35230109556846;242.0919720495465;211.44373049714292;47680.10158577231
1657718794.3658504;277.8673528249921;416.3687010976532;242.33244577897503;213.2274004238185;47829.53202214951
1657718794.6880968;279.69669761564245;417.37741745589847;241.63750004338252;211.51325301139343;47544.95647445473
1657718794.742767;279.267357825727;418.02773253174047;240.63173740758714;211.1306387525271;47680.23398892525
1657718795.0398965;278.43462320401295;417.0986139416915;240.43947919577016;211.07267317950868;47695.58161026679
1657718795.0946007;277.72631561281304;415.45612887909215;240.55265742062167;212.3282260721049;47824.90779959602
1657718795.3879275;277.81377602639213;414.54131418713763;240.09029124453295;210.16496810656662;47740.30833185115
1657718795.4474;278.36091174668076;414.6570839783642;239.20771078054182;211.4229596253325;47591.50635408232
1657718795.758858;277.9970768336413;414.98623283092263;240.7754040954658;212.02095988734644;47793.49788197256
1657718795.8235953;277.89717121633333;414.6311388018604;241.2907170079152;212.3786640812538;47935.54140751783
1657718795.9562607;277.805112638112;414.76445849623605;240.49472526088712;211.72364984676275;47771.9863785768
