unixtime;v_center_mum;h_center_mum;v_width_mum;h_width_mum;sum_counts_roi
1657718870.5638483;267.9981983754239;408.1760929090538;222.88332620721525;196.19650266503132;47590.09220040398
1657718870.6202252;268.02495348208174;409.04016129245775;222.32161764785883;196.16600114225974;47743.18016475309
1657718870.7546365;268.2060567178712;409.25515916413036;221.49025377699985;195.2606551634631;47531.68743209397
1657718871.0722587;268.046761406504;408.59251376060433;222.83769911411503;195.63314287803178;47484.13663920781
1657718871.126254;267.85419755229793;408.69521655060566;223.71626663448248;195.4423831104064;47633.73610695268
1657718871.4120588;267.55591012016725;408.9146135197751;223.26443209535563;194.86133433980157;47607.2288396118
1657718871.4667609;267.3735579380732;408.8367953365677;223.42776933613072;195.75835639241438;47727.91548617575
1657718871.750327;267.323342523108;409.0261279541812;223.76155223662815;195.0261203747164;47667.72248552949
1657718871.799705;267.4693429764241;409.3410839634356;224.52659525422737;195.60590484395837;47625.59008237654
1657718871.963339;268.28082217891927;408.74751598621725;223.77051366509411;195.3319663217341;47685.63360792181
1657718872.2581623;268.08870154476494;408.22021649281044;224.08919419097975;195.18453101298013;47623.34417453585
1657718872.3175719;268.30561080301635;408.4809455112425;223.12187083240627;196.1597603929691;47524.76177501987
1657718872.5957057;268.34013371826995;408.71121222009833;223.50697596609652;194.98894264588697;47622.54140751783
1657718872.6462924;268.3158954063687;408.33013336574976;224.45795330977288;196.00125597030774;47592.18955012142
1657718872.812482;268.18929634968686;408.26935174652647;224.34760850494965;196.259352264464;47610.50120476887
1657718872.9453948;267.99663926198;408.2043596384165;225.3052983439164;196.28125059384485;47474.90779959602
1657718873.284149;268.274192261492;408.40275042913686;225.23589871521023;196.53479502967252;47677.224603556926
1657718873.3449192;267.62655085009163;408.4687600933832;225.24162521887837;196.891473638934;47551.594318431424
1657718873.6229577;268.3088496193951;408.8370974913617;223.89377880181192;196.35983439338116;47650.81892198834
1657718873.6847997;269.154218510213;409.1503875572036;223.33984117921588;195.97918244685437;47523.595231689986
1657718873.9597595;268.8649785072504;409.3169394323257;223.02578249522304;195.7452832801473;47639.54140751783
1657718874.0165448;268.46884350242146;409.49749567002726;223.91987506611753;195.7776603628341;47683.26904236076
1657718874.2992887;269.2168774517119;409.4107277716366;223.40778356800334;194.74962254819144;47622.13663920783
1657718874.3507826;268.62652225419475;409.20109248343795;221.9870136608869;194.87764444261026;47575.361242764746
1657718874.513018;268.5385682604425;408.8409181603263;223.0438161129493;195.4695968325848;47545.1015857723
1657718874.8147225;268.81350755504525;408.6910304801551;224.10278826963716;195.28542925383877;47610.449207113845
1657718874.8697739;269.35052321323434;408.69791027237085;223.73307976356415;195.3523210353439;47700.18955012141
1657718875.152741;269.3904425672674;407.4018489361264;223.22175413674015;195.29199055187408;47671.59946774486
1657718875.2049956;269.5109490699791;407.3395990225815;222.85420895492607;195.22112158381663;47696.81044987859
1657718875.3681977;269.53335149248414;407.71114161152616;222.82391850838079;195.38861507154422;47625.50635408232
1657718875.50115;269.4786918971027;407.7552148187311;223.4886349411333;195.53803889165357;47714.12301778461
1657718875.8430433;267.88494756715875;408.8101210351618;223.94790139708627;195.28664827420943;47688.63452118037
1657718875.9023392;267.5514643948097;408.66385739001885;224.09557368460568;195.9769403354341;47645.54140751783
1657718876.0440543;267.4252713073069;409.10472438384176;224.2324626692235;197.21422197469886;47634.67804672565
1657718876.3800492;268.14158406500803;408.5854715657706;223.8784193319378;195.72512075612332;47672.77539644308
1657718876.4360366;267.8259223884763;408.5900523455187;223.65952702575814;195.93150265311465;47651.449207113845
1657718876.7219253;267.87090794652676;408.40988919495214;224.48651395659718;196.472202687161;47634.04867485872
1657718876.7804854;268.6225363197205;408.4485769546093;222.877587805482;197.7726118994056;47747.90265028257
1657718877.0646098;268.38806523722184;409.448920608717;222.6179523347329;194.66193301051973;47635.585846321665
1657718877.2492425;268.12378746275584;409.5621991199471;224.43899841009824;194.84206755983723;47721.78823233625
1657718877.298851;269.2289785332524;409.3508698007809;223.11121854620055;194.55014171150378;47715.52010323406
1657718877.4733706;268.8122144742922;409.50962064456104;223.8528650194913;197.67616731310028;47891.73610695269
1657718877.7910588;268.760015188512;409.8710399433247;224.7917183828643;196.91715210730212;47624.603703799745
1657718877.8437858;269.55865829036026;409.58340389294244;223.8108534300017;194.32260873377288;47700.86336079218
1657718878.0125594;269.121668837939;408.5296763358265;223.9036930131874;194.13312029610998;47583.68743209397
1657718878.3115807;269.15981055347567;408.0848749453609;223.65473042073555;194.14151497882023;47750.414153678335
1657718878.3633146;268.7612731783814;407.8814462936158;223.58941401372925;193.53950204212327;47590.40476831001
1657718878.6542366;268.64478296904196;408.03364008606707;226.02799690509949;194.5253379910484;47654.277514470516
1657718878.7128143;269.4024869797966;407.51890052295795;225.9196008498608;196.06240195762558;47622.2202397735
1657718878.9957156;269.6095485204816;407.11069040156866;224.13473310957798;194.4817663167443;47701.18016475309
1657718879.054523;269.0833334634215;408.2880122499782;224.9664516271496;195.79702824137263;47758.48849660424
1657718879.3442607;267.1314198343951;408.7000932303847;224.46760171323174;196.11112985051795;47786.82407130179
1657718879.393989;267.5152578606174;409.214739960378;224.1876179148861;196.9432633382284;47751.638757235254
1657718879.5354304;268.47735165675505;410.65366559231404;224.2962121010079;197.78399324359395;47722.775396443074
1657718879.8627234;268.4286093840865;409.4255504469729;223.228312720878;194.45311963115597;47769.404768310014
