unixtime;v_center_mum;h_center_mum;v_width_mum;h_width_mum;sum_counts_roi
1657721295.1241274;173.8390164690997;246.75467103079725;114.29483680471246;114.41228066279987;14954.012113490535
1657721295.196259;173.17029538432695;246.74740756224224;113.53779786730888;117.0038452276927;14981.560294507919
1657721295.3704846;169.67321000906267;247.26585196229397;113.66376184459526;113.86108709606486;15059.02026204863
1657721295.687188;172.81177413970272;249.9968695793898;114.0328543189802;114.47215357034082;15093.472081031248
1657721295.9008796;173.1523930503568;249.13124151399512;115.30291182638156;115.17535025544987;14937.226500680705
1657721296.03762;173.2419623273124;249.49418326472903;113.61404200200487;115.20834678398448;14954.431357831145
1657721296.3744397;173.6333596084316;249.71644864531382;112.4470104622685;115.5145227221137;15047.358977003152
1657721296.5763474;173.82344589087896;249.23555282809355;112.50458038618379;115.9631010633257;15016.393397594315
1657721296.8834167;171.68824144686593;249.46499063961255;111.94921177795663;114.7245313544601;14996.972771772067
1657721296.9410837;172.88117464845178;249.0523090038067;113.28295962329481;115.38626196940696;15000.678319663324
1657721297.0959156;172.6248032414157;249.52054411117837;113.35804248323804;114.57405744002173;14997.393397594313
1657721297.2261384;172.52359093709816;248.821940026157;114.45322972917737;116.14331841717218;15023.972771772069
1657721297.4370348;172.48316553029366;249.3703571260652;113.57407754719279;116.55837257948372;14962.766533139995
1657721297.6641839;170.69144561356214;248.28267431674686;113.12889274583324;115.56433844674604;15005.972771772067
1657721297.7928624;171.82813994526876;249.52160133376475;113.82080762850819;114.56418458624583;15058.354055875843
1657721298.0697343;172.16083531566665;248.3591317903439;115.28137713900165;114.40941614781583;15065.012113490537
1657721298.2824442;171.64179805226905;247.69442988201465;112.41147795941421;115.50487679212902;15027.098945485568
1657721298.5796869;172.5893569356455;248.04607773858976;113.91463386277441;116.61643348273866;15019.892706853494
1657721298.7919667;171.79144624897233;247.36807700154804;114.41576692527023;115.29675446244121;15008.560294507919
1657721299.0276093;170.66062393096442;247.83715758436279;113.72076278052117;113.42622397695739;15012.599636226387
1657721299.14713;169.9821591739958;250.06876771540414;112.61420010990929;111.8714335923561;15017.845216576929
1657721299.429874;172.52206401894108;249.57704464457916;114.20302558295286;114.99203037023854;14965.179010404143
1657721299.6432083;171.8594279151572;248.98912383906242;114.25070428923057;115.32973947186674;15005.139668685675
1657721299.9488285;172.67837520891769;248.27344552488583;113.44649951224791;113.99822524653746;14998.100326967207
1657721300.1616848;172.34402295569274;248.99639587090567;112.63695414224833;114.2982766867348;14926.638977944855
1657721300.4711041;171.9455136348042;248.33748355906357;114.00356274525053;116.90735520256837;14962.473462512888
1657721300.812734;172.57454087611777;248.69737573573303;113.98221699147926;115.69371844970685;14983.34098619044
1657721301.0330515;171.66413306865152;248.73271165824542;113.10968060134097;116.06555713489718;14998.012113490537
1657721301.3343477;171.67964686645294;248.7183264421743;112.73350071410262;115.02080494474966;14997.9334300536
1657721301.3965452;171.68625031120294;248.43721848040437;113.34333458010988;115.55505519547249;14971.599636226387
1657721301.6923375;171.48505150103864;248.5066998950978;112.16702728832837;114.32861825487562;14932.932048571962
1657721301.7562177;171.89736489079067;247.99551962053854;112.64317027012292;114.2520576333316;14970.393397594313
1657721302.0396514;172.4679126169211;247.70479370573565;112.56278530656078;114.0815234308564;14951.766533139993
1657721302.3861578;172.89857466295214;249.43901230058205;115.07802335540255;116.16849557966128;14979.309793030066
1657721302.6086779;171.91329334268522;248.17789421843614;114.600388467729;116.49526090992927;14926.139668685675
1657721302.9254222;171.24027073260234;248.23795059653582;113.8744453827674;112.2467566484167;14972.47208103125
1657721303.135604;171.65642818655306;248.21229125676754;112.44009442447096;114.99265302971608;14947.638977944855
1657721303.4386957;172.21196138626976;247.99354135060042;112.58562891953837;114.21875500059558;14932.80587485846
1657721303.7812219;171.78724654095004;248.78824217384368;113.87743873954284;115.62507985113345;14948.305184117644
1657721303.8439403;172.73492765129754;248.52819900571396;111.74047412642662;116.49379811609982;14915.980920330163
1657721304.0561125;173.3372080169073;249.47286782027047;114.2778024239602;116.58702124225252;14867.599636226387
1657721304.2142165;171.5557596658208;248.62405710852298;113.12386731940224;114.82279628892512;14935.631293854272
1657721304.3992682;172.37524675363156;248.95952395730222;112.66376140483227;115.76990400866201;14977.560294507919
1657721304.7329984;171.77138497437514;248.07898325563127;113.26883590171107;117.15599265860443;14931.599636226387
1657721304.7974088;171.64610295269074;247.12588380938092;113.05242922493238;114.36135365631404;14974.0596037671
1657721305.0751395;173.8419894519884;248.06829909451443;112.24295495479657;116.52581079132248;14966.226500680707
1657721305.4127145;172.20832095164369;248.09910575170176;115.81163179295444;115.82175581520299;14984.599636226387
1657721305.6257203;172.83925341783072;248.0994777535034;115.65369429572954;116.48410674211613;14862.018880566995
1657721305.9528592;172.7909786765266;247.34686685687183;113.0566627075731;116.35953069412216;14883.393397594313
1657721306.1686273;172.28258905197995;248.32456872124385;112.6559886090804;116.58954244797998;14999.810795985772
1657721306.4635813;172.35094328417784;248.27774516920996;110.4323659161898;115.21420135007764;14901.43273931278
1657721306.5348694;171.8589756583929;248.91810005812982;111.67861827504177;113.65366387108965;14918.231421808016
1657721306.815572;172.37652074844425;248.06157657471329;111.44715687825727;115.74926924993088;14862.80587485846
1657721307.1828995;173.82587851770117;249.64260900477794;113.16221256890009;117.0876770231551;14853.599636226387
1657721307.3961453;172.65019777632986;248.92127008548852;113.44315587151321;115.8069024606152;14888.393397594311
1657721307.7487042;171.90431821106628;247.77310823383786;112.66804828202682;114.7457350962103;14925.88640424455
1657721307.9705427;172.43963702162003;249.06378001507966;113.82279396547362;115.11148533496855;14871.265842399174
1657721308.1918867;172.9378635443149;248.47262274508364;115.79986960776806;117.88033164274941;14878.678319663322
1657721308.33547;171.51810845622046;248.633897241626;114.49169748402433;115.63124899568496;14908.557531544644
1657721308.5153973;171.80463075452423;247.9983050876733;113.40293394049876;115.69054929361177;14878.766533139993
1657721308.8215187;171.6261003423482;248.37661021286488;113.88236938903331;116.48290160644191;14857.179010404143
1657721308.8920305;172.2729238536154;249.74349429730654;112.67421421414363;116.09500020905001;14902.390634631036
