unixtime;v_center_mum;h_center_mum;v_width_mum;h_width_mum;sum_counts_roi
1657718985.6540203;247.92841069104875;397.27139539917425;190.99222317874572;163.88770921428414;47505.67381067077
1657718985.8812435;248.78250295643875;396.4213821918975;191.28837935524433;165.3332524493928;47862.68743209397
1657718986.0198548;247.89720679817674;396.30988795287976;189.32069629062843;165.61329633913408;47747.0
1657718986.3362803;248.87341071748526;395.69068680543455;189.15909071527165;165.7750115355738;47867.087964349106
1657718986.387795;247.26352847545317;396.0839677093597;189.9557449674566;165.0521542082029;47870.73519369412
1657718986.6865516;247.86081791686195;395.85550018174405;190.11751495312964;165.42638047939124;47860.595231689986
1657718986.7367063;247.8940911394525;395.79481863217677;191.11565078642133;165.12595153735586;47688.64814260358
1657718986.8761683;247.68332546504743;397.359486478714;188.72164815556619;163.50757180440152;47741.81468593347
1657718987.2128432;248.17709790615322;397.974136919634;188.91487273538735;163.78986213697135;47744.13663920782
1657718987.2657413;247.49507946626318;397.87877001860505;189.2619862556027;164.30612923842085;47824.224603556926
1657718987.5568166;247.81907626439343;397.8056810229101;189.95372641977696;164.6369242862882;47751.405681568576
1657718987.6061387;248.21753316309466;397.702685274457;188.76290600595794;164.23724776289123;47784.775396443074
1657718987.774784;247.8243260917755;397.50999056960507;189.16137689474948;164.23999904828995;47843.541407517834
1657718988.0268078;247.73962137941874;396.956568134744;189.85966554477682;164.14120342096982;47861.819835246904
1657718988.157859;247.55729005839237;397.1887920645815;190.41695095443995;163.62552535830613;47962.18016475308
1657718988.4618256;247.91295136909213;397.5772637047614;189.77527633627182;163.38975582467464;47948.40991762345
1657718988.5154827;248.41866804178213;397.4464430278005;190.03251975966836;163.43516542646572;47955.73610695268
1657718988.8056648;248.9794509468854;397.05536732954477;189.12366952331115;163.64585788533543;47963.54655683128
1657718988.8583524;248.8507763749647;396.9249604961926;189.70676948314843;163.89766118022624;47984.351857396425
1657718989.1469977;249.75458435612592;396.50416482765115;189.08384052539213;163.10826363167922;48006.087964349106
1657718989.203267;250.21765136194938;396.6886612293125;190.11900839714468;163.35960007266854;47822.86851010562
1657718989.4972541;248.70407675973883;396.8654876200297;191.2581889431207;163.95055823140927;48034.824199030336
1657718989.5837667;249.40891399994953;397.2897541789831;190.66456983018023;162.8195898691164;47971.321953274346
1657718989.8662727;248.84679488776712;396.9412696502549;189.7158302948556;163.80272965831097;47981.35609345129
1657718989.9251769;248.7683831873738;397.134740740116;189.24043426157635;164.25111051647073;47843.175928698205
