# Data taken on 2022-08-08_100328
# RF Power Mappings, 20 dBm Attenuation (already taken into account)
# Set Freq/MHz	Meas Freq/MHz	RF Input/dBm	AM Volt/V	RF Output/dBm
55.0	54.97276	0.0	6.0	34.62
55.0	54.97276	0.0	5.75	34.6
55.0	54.97276	0.0	5.5	34.58
55.0	54.97276	0.0	5.25	34.56
55.0	54.97276	0.0	5.0	34.54
55.0	54.97276	0.0	4.75	34.5
55.0	54.97276	0.0	4.5	34.45
55.0	54.97276	0.0	4.25	34.4
55.0	54.97276	0.0	4.0	34.32
55.0	54.97276	0.0	3.75	34.22
55.0	54.97276	0.0	3.5	34.05
55.0	54.97276	0.0	3.25	33.76
55.0	54.97276	0.0	3.0	33.36
55.0	54.97276	0.0	2.75	32.82
55.0	54.97276	0.0	2.5	32.19
55.0	54.97276	0.0	2.25	31.43
55.0	54.97276	0.0	2.0	30.55
55.0	54.97276	0.0	1.75	29.52
55.0	54.97276	0.0	1.5	28.310000000000002
55.0	54.97276	0.0	1.25	26.83
55.0	54.97276	0.0	1.0	25.05
55.0	54.97276	0.0	0.75	22.740000000000002
55.0	54.97276	0.0	0.5	19.48
55.0	54.97276	-0.5	6.0	34.41
55.0	54.97276	-0.5	5.75	34.38
55.0	54.97276	-0.5	5.5	34.36
55.0	54.97276	-0.5	5.25	34.34
55.0	54.97276	-0.5	5.0	34.3
55.0	54.97276	-0.5	4.75	34.28
55.0	54.97276	-0.5	4.5	34.230000000000004
55.0	54.97276	-0.5	4.25	34.17
55.0	54.97276	-0.5	4.0	34.1
55.0	54.97276	-0.5	3.75	34.0
55.0	54.97276	-0.5	3.5	33.83
55.0	54.97276	-0.5	3.25	33.55
55.0	54.97276	-0.5	3.0	33.18
55.0	54.97276	-0.5	2.75	32.66
55.0	54.97276	-0.5	2.5	32.04
55.0	54.97276	-0.5	2.25	31.310000000000002
55.0	54.97276	-0.5	2.0	30.439999999999998
55.0	54.97276	-0.5	1.75	29.43
55.0	54.97276	-0.5	1.5	28.22
55.0	54.97276	-0.5	1.25	26.77
55.0	54.97276	-0.5	1.0	24.95
55.0	54.97276	-0.5	0.75	22.64
55.0	54.97276	-0.5	0.5	19.4
55.0	54.97276	-1.0	6.0	34.17
55.0	54.97276	-1.0	5.75	34.14
55.0	54.97276	-1.0	5.5	34.12
55.0	54.97276	-1.0	5.25	34.08
55.0	54.97276	-1.0	5.0	34.06
55.0	54.97276	-1.0	4.75	34.019999999999996
55.0	54.97276	-1.0	4.5	33.97
55.0	54.97276	-1.0	4.25	33.91
55.0	54.97276	-1.0	4.0	33.83
55.0	54.97276	-1.0	3.75	33.72
55.0	54.97276	-1.0	3.5	33.56
55.0	54.97276	-1.0	3.25	33.31
55.0	54.97276	-1.0	3.0	32.95
55.0	54.97276	-1.0	2.75	32.49
55.0	54.97276	-1.0	2.5	31.880000000000003
55.0	54.97276	-1.0	2.25	31.17
55.0	54.97276	-1.0	2.0	30.32
55.0	54.97276	-1.0	1.75	29.3
55.0	54.97276	-1.0	1.5	28.11
55.0	54.97276	-1.0	1.25	26.65
55.0	54.97276	-1.0	1.0	24.86
55.0	54.97276	-1.0	0.75	22.53
55.0	54.97276	-1.0	0.5	19.3
55.0	54.97276	-1.5	6.0	33.87
55.0	54.97276	-1.5	5.75	33.84
55.0	54.97276	-1.5	5.5	33.82
55.0	54.97276	-1.5	5.25	33.78
55.0	54.97276	-1.5	5.0	33.75
55.0	54.97276	-1.5	4.75	33.7
55.0	54.97276	-1.5	4.5	33.65
55.0	54.97276	-1.5	4.25	33.58
55.0	54.97276	-1.5	4.0	33.49
55.0	54.97276	-1.5	3.75	33.38
55.0	54.97276	-1.5	3.5	33.22
55.0	54.97276	-1.5	3.25	33.0
55.0	54.97276	-1.5	3.0	32.69
55.0	54.97276	-1.5	2.75	32.26
55.0	54.97276	-1.5	2.5	31.71
55.0	54.97276	-1.5	2.25	31.009999999999998
55.0	54.97276	-1.5	2.0	30.18
55.0	54.97276	-1.5	1.75	29.2
55.0	54.97276	-1.5	1.5	27.98
55.0	54.97276	-1.5	1.25	26.54
55.0	54.97276	-1.5	1.0	24.740000000000002
55.0	54.97276	-1.5	0.75	22.42
55.0	54.97276	-1.5	0.5	19.18
55.0	54.97276	-2.0	6.0	33.53
55.0	54.97276	-2.0	5.75	33.5
55.0	54.97276	-2.0	5.5	33.47
55.0	54.97276	-2.0	5.25	33.43
55.0	54.97276	-2.0	5.0	33.38
55.0	54.97276	-2.0	4.75	33.34
55.0	54.97276	-2.0	4.5	33.28
55.0	54.97276	-2.0	4.25	33.2
55.0	54.97276	-2.0	4.0	33.12
55.0	54.97276	-2.0	3.75	33.0
55.0	54.97276	-2.0	3.5	32.85
55.0	54.97276	-2.0	3.25	32.66
55.0	54.97276	-2.0	3.0	32.4
55.0	54.97276	-2.0	2.75	32.019999999999996
55.0	54.97276	-2.0	2.5	31.5
55.0	54.97276	-2.0	2.25	30.85
55.0	54.97276	-2.0	2.0	30.03
55.0	54.97276	-2.0	1.75	29.060000000000002
55.0	54.97276	-2.0	1.5	27.88
55.0	54.97276	-2.0	1.25	26.43
55.0	54.97276	-2.0	1.0	24.62
55.0	54.97276	-2.0	0.75	22.3
55.0	54.97276	-2.0	0.5	19.07
55.0	54.97276	-2.5	6.0	33.11
55.0	54.97276	-2.5	5.75	33.09
55.0	54.97276	-2.5	5.5	33.05
55.0	54.97276	-2.5	5.25	33.0
55.0	54.97276	-2.5	5.0	32.96
55.0	54.97276	-2.5	4.75	32.91
55.0	54.97276	-2.5	4.5	32.84
55.0	54.97276	-2.5	4.25	32.78
55.0	54.97276	-2.5	4.0	32.68
55.0	54.97276	-2.5	3.75	32.57
55.0	54.97276	-2.5	3.5	32.44
55.0	54.97276	-2.5	3.25	32.269999999999996
55.0	54.97276	-2.5	3.0	32.03
55.0	54.97276	-2.5	2.75	31.71
55.0	54.97276	-2.5	2.5	31.25
55.0	54.97276	-2.5	2.25	30.64
55.0	54.97276	-2.5	2.0	29.869999999999997
55.0	54.97276	-2.5	1.75	28.9
55.0	54.97276	-2.5	1.5	27.73
55.0	54.97276	-2.5	1.25	26.3
55.0	54.97276	-2.5	1.0	24.5
55.0	54.97276	-2.5	0.75	22.16
55.0	54.97276	-2.5	0.5	18.92
55.0	54.97276	-3.0	6.0	32.67
55.0	54.97276	-3.0	5.75	32.64
55.0	54.97276	-3.0	5.5	32.6
55.0	54.97276	-3.0	5.25	32.56
55.0	54.97276	-3.0	5.0	32.519999999999996
55.0	54.97276	-3.0	4.75	32.47
55.0	54.97276	-3.0	4.5	32.41
55.0	54.97276	-3.0	4.25	32.34
55.0	54.97276	-3.0	4.0	32.26
55.0	54.97276	-3.0	3.75	32.15
55.0	54.97276	-3.0	3.5	32.03
55.0	54.97276	-3.0	3.25	31.869999999999997
55.0	54.97276	-3.0	3.0	31.66
55.0	54.97276	-3.0	2.75	31.380000000000003
55.0	54.97276	-3.0	2.5	30.96
55.0	54.97276	-3.0	2.25	30.41
55.0	54.97276	-3.0	2.0	29.66
55.0	54.97276	-3.0	1.75	28.75
55.0	54.97276	-3.0	1.5	27.6
55.0	54.97276	-3.0	1.25	26.17
55.0	54.97276	-3.0	1.0	24.34
55.0	54.97276	-3.0	0.75	22.02
55.0	54.97276	-3.0	0.5	18.77
55.0	54.97276	-3.5	6.0	32.2
55.0	54.97276	-3.5	5.75	32.17
55.0	54.97276	-3.5	5.5	32.14
55.0	54.97276	-3.5	5.25	32.1
55.0	54.97276	-3.5	5.0	32.05
55.0	54.97276	-3.5	4.75	32.0
55.0	54.97276	-3.5	4.5	31.939999999999998
55.0	54.97276	-3.5	4.25	31.880000000000003
55.0	54.97276	-3.5	4.0	31.78
55.0	54.97276	-3.5	3.75	31.689999999999998
55.0	54.97276	-3.5	3.5	31.58
55.0	54.97276	-3.5	3.25	31.439999999999998
55.0	54.97276	-3.5	3.0	31.240000000000002
55.0	54.97276	-3.5	2.75	30.990000000000002
55.0	54.97276	-3.5	2.5	30.64
55.0	54.97276	-3.5	2.25	30.14
55.0	54.97276	-3.5	2.0	29.46
55.0	54.97276	-3.5	1.75	28.57
55.0	54.97276	-3.5	1.5	27.43
55.0	54.97276	-3.5	1.25	26.02
55.0	54.97276	-3.5	1.0	24.21
55.0	54.97276	-3.5	0.75	21.87
55.0	54.97276	-3.5	0.5	18.56
55.0	54.97276	-4.0	6.0	31.75
55.0	54.97276	-4.0	5.75	31.73
55.0	54.97276	-4.0	5.5	31.689999999999998
55.0	54.97276	-4.0	5.25	31.66
55.0	54.97276	-4.0	5.0	31.6
55.0	54.97276	-4.0	4.75	31.560000000000002
55.0	54.97276	-4.0	4.5	31.5
55.0	54.97276	-4.0	4.25	31.43
55.0	54.97276	-4.0	4.0	31.35
55.0	54.97276	-4.0	3.75	31.259999999999998
55.0	54.97276	-4.0	3.5	31.15
55.0	54.97276	-4.0	3.25	31.009999999999998
55.0	54.97276	-4.0	3.0	30.83
55.0	54.97276	-4.0	2.75	30.6
55.0	54.97276	-4.0	2.5	30.29
55.0	54.97276	-4.0	2.25	29.84
55.0	54.97276	-4.0	2.0	29.23
55.0	54.97276	-4.0	1.75	28.4
55.0	54.97276	-4.0	1.5	27.29
55.0	54.97276	-4.0	1.25	25.88
55.0	54.97276	-4.0	1.0	24.08
55.0	54.97276	-4.0	0.75	21.69
55.0	54.97276	-4.0	0.5	18.34
55.0	54.97276	-4.5	6.0	31.29
55.0	54.97276	-4.5	5.75	31.259999999999998
55.0	54.97276	-4.5	5.5	31.22
55.0	54.97276	-4.5	5.25	31.189999999999998
55.0	54.97276	-4.5	5.0	31.14
55.0	54.97276	-4.5	4.75	31.1
55.0	54.97276	-4.5	4.5	31.03
55.0	54.97276	-4.5	4.25	30.96
55.0	54.97276	-4.5	4.0	30.9
55.0	54.97276	-4.5	3.75	30.8
55.0	54.97276	-4.5	3.5	30.71
55.0	54.97276	-4.5	3.25	30.57
55.0	54.97276	-4.5	3.0	30.41
55.0	54.97276	-4.5	2.75	30.189999999999998
55.0	54.97276	-4.5	2.5	29.92
55.0	54.97276	-4.5	2.25	29.52
55.0	54.97276	-4.5	2.0	28.96
55.0	54.97276	-4.5	1.75	28.18
55.0	54.97276	-4.5	1.5	27.11
55.0	54.97276	-4.5	1.25	25.740000000000002
55.0	54.97276	-4.5	1.0	23.94
55.0	54.97276	-4.5	0.75	21.55
55.0	54.97276	-4.5	0.5	18.21
55.0	54.97276	-5.0	6.0	30.8
55.0	54.97276	-5.0	5.75	30.759999999999998
55.0	54.97276	-5.0	5.5	30.73
55.0	54.97276	-5.0	5.25	30.689999999999998
55.0	54.97276	-5.0	5.0	30.65
55.0	54.97276	-5.0	4.75	30.6
55.0	54.97276	-5.0	4.5	30.55
55.0	54.97276	-5.0	4.25	30.48
55.0	54.97276	-5.0	4.0	30.42
55.0	54.97276	-5.0	3.75	30.33
55.0	54.97276	-5.0	3.5	30.22
55.0	54.97276	-5.0	3.25	30.09
55.0	54.97276	-5.0	3.0	29.939999999999998
55.0	54.97276	-5.0	2.75	29.75
55.0	54.97276	-5.0	2.5	29.5
55.0	54.97276	-5.0	2.25	29.130000000000003
55.0	54.97276	-5.0	2.0	28.64
55.0	54.97276	-5.0	1.75	27.92
55.0	54.97276	-5.0	1.5	26.91
55.0	54.97276	-5.0	1.25	25.58
55.0	54.97276	-5.0	1.0	23.79
55.0	54.97276	-5.0	0.75	21.37
55.0	54.97276	-5.0	0.5	17.93
55.0	54.97276	-5.5	6.0	30.32
55.0	54.97276	-5.5	5.75	30.29
55.0	54.97276	-5.5	5.5	30.259999999999998
55.0	54.97276	-5.5	5.25	30.22
55.0	54.97276	-5.5	5.0	30.18
55.0	54.97276	-5.5	4.75	30.119999999999997
55.0	54.97276	-5.5	4.5	30.060000000000002
55.0	54.97276	-5.5	4.25	30.0
55.0	54.97276	-5.5	4.0	29.939999999999998
55.0	54.97276	-5.5	3.75	29.85
55.0	54.97276	-5.5	3.5	29.75
55.0	54.97276	-5.5	3.25	29.64
55.0	54.97276	-5.5	3.0	29.5
55.0	54.97276	-5.5	2.75	29.32
55.0	54.97276	-5.5	2.5	29.08
55.0	54.97276	-5.5	2.25	28.75
55.0	54.97276	-5.5	2.0	28.29
55.0	54.97276	-5.5	1.75	27.64
55.0	54.97276	-5.5	1.5	26.69
55.0	54.97276	-5.5	1.25	25.39
55.0	54.97276	-5.5	1.0	23.63
55.0	54.97276	-5.5	0.75	21.23
55.0	54.97276	-5.5	0.5	17.759999999999998
55.0	54.97276	-6.0	6.0	29.82
55.0	54.97276	-6.0	5.75	29.79
55.0	54.97276	-6.0	5.5	29.75
55.0	54.97276	-6.0	5.25	29.71
55.0	54.97276	-6.0	5.0	29.66
55.0	54.97276	-6.0	4.75	29.630000000000003
55.0	54.97276	-6.0	4.5	29.57
55.0	54.97276	-6.0	4.25	29.52
55.0	54.97276	-6.0	4.0	29.45
55.0	54.97276	-6.0	3.75	29.35
55.0	54.97276	-6.0	3.5	29.28
55.0	54.97276	-6.0	3.25	29.15
55.0	54.97276	-6.0	3.0	29.02
55.0	54.97276	-6.0	2.75	28.85
55.0	54.97276	-6.0	2.5	28.619999999999997
55.0	54.97276	-6.0	2.25	28.33
55.0	54.97276	-6.0	2.0	27.92
55.0	54.97276	-6.0	1.75	27.3
55.0	54.97276	-6.0	1.5	26.44
55.0	54.97276	-6.0	1.25	25.19
55.0	54.97276	-6.0	1.0	23.44
55.0	54.97276	-6.0	0.75	21.04
55.0	54.97276	-6.0	0.5	17.56
55.0	54.97276	-6.5	6.0	29.33
55.0	54.97276	-6.5	5.75	29.32
55.0	54.97276	-6.5	5.5	29.27
55.0	54.97276	-6.5	5.25	29.240000000000002
55.0	54.97276	-6.5	5.0	29.21
55.0	54.97276	-6.5	4.75	29.15
55.0	54.97276	-6.5	4.5	29.1
55.0	54.97276	-6.5	4.25	29.04
55.0	54.97276	-6.5	4.0	28.97
55.0	54.97276	-6.5	3.75	28.89
55.0	54.97276	-6.5	3.5	28.79
55.0	54.97276	-6.5	3.25	28.68
55.0	54.97276	-6.5	3.0	28.560000000000002
55.0	54.97276	-6.5	2.75	28.39
55.0	54.97276	-6.5	2.5	28.18
55.0	54.97276	-6.5	2.25	27.9
55.0	54.97276	-6.5	2.0	27.52
55.0	54.97276	-6.5	1.75	26.97
55.0	54.97276	-6.5	1.5	26.16
55.0	54.97276	-6.5	1.25	24.98
55.0	54.97276	-6.5	1.0	23.28
55.0	54.97276	-6.5	0.75	20.87
55.0	54.97276	-6.5	0.5	17.34
55.0	54.97276	-7.0	6.0	28.83
55.0	54.97276	-7.0	5.75	28.8
55.0	54.97276	-7.0	5.5	28.77
55.0	54.97276	-7.0	5.25	28.740000000000002
55.0	54.97276	-7.0	5.0	28.689999999999998
55.0	54.97276	-7.0	4.75	28.64
55.0	54.97276	-7.0	4.5	28.6
55.0	54.97276	-7.0	4.25	28.54
55.0	54.97276	-7.0	4.0	28.47
55.0	54.97276	-7.0	3.75	28.39
55.0	54.97276	-7.0	3.5	28.3
55.0	54.97276	-7.0	3.25	28.2
55.0	54.97276	-7.0	3.0	28.060000000000002
55.0	54.97276	-7.0	2.75	27.9
55.0	54.97276	-7.0	2.5	27.71
55.0	54.97276	-7.0	2.25	27.45
55.0	54.97276	-7.0	2.0	27.1
55.0	54.97276	-7.0	1.75	26.59
55.0	54.97276	-7.0	1.5	25.84
55.0	54.97276	-7.0	1.25	24.72
55.0	54.97276	-7.0	1.0	23.09
55.0	54.97276	-7.0	0.75	20.7
55.0	54.97276	-7.0	0.5	17.16
55.0	54.97276	-7.5	6.0	28.35
55.0	54.97276	-7.5	5.75	28.32
55.0	54.97276	-7.5	5.5	28.29
55.0	54.97276	-7.5	5.25	28.240000000000002
55.0	54.97276	-7.5	5.0	28.21
55.0	54.97276	-7.5	4.75	28.17
55.0	54.97276	-7.5	4.5	28.11
55.0	54.97276	-7.5	4.25	28.060000000000002
55.0	54.97276	-7.5	4.0	27.990000000000002
55.0	54.97276	-7.5	3.75	27.91
55.0	54.97276	-7.5	3.5	27.82
55.0	54.97276	-7.5	3.25	27.72
55.0	54.97276	-7.5	3.0	27.59
55.0	54.97276	-7.5	2.75	27.45
55.0	54.97276	-7.5	2.5	27.25
55.0	54.97276	-7.5	2.25	27.0
55.0	54.97276	-7.5	2.0	26.67
55.0	54.97276	-7.5	1.75	26.22
55.0	54.97276	-7.5	1.5	25.52
55.0	54.97276	-7.5	1.25	24.47
55.0	54.97276	-7.5	1.0	22.86
55.0	54.97276	-7.5	0.75	20.52
55.0	54.97276	-7.5	0.5	16.98
55.0	54.97276	-8.0	6.0	27.84
55.0	54.97276	-8.0	5.75	27.81
55.0	54.97276	-8.0	5.5	27.78
55.0	54.97276	-8.0	5.25	27.740000000000002
55.0	54.97276	-8.0	5.0	27.7
55.0	54.97276	-8.0	4.75	27.65
55.0	54.97276	-8.0	4.5	27.6
55.0	54.97276	-8.0	4.25	27.55
55.0	54.97276	-8.0	4.0	27.48
55.0	54.97276	-8.0	3.75	27.4
55.0	54.97276	-8.0	3.5	27.32
55.0	54.97276	-8.0	3.25	27.22
55.0	54.97276	-8.0	3.0	27.1
55.0	54.97276	-8.0	2.75	26.95
55.0	54.97276	-8.0	2.5	26.77
55.0	54.97276	-8.0	2.25	26.53
55.0	54.97276	-8.0	2.0	26.2
55.0	54.97276	-8.0	1.75	25.77
55.0	54.97276	-8.0	1.5	25.14
55.0	54.97276	-8.0	1.25	24.15
55.0	54.97276	-8.0	1.0	22.64
55.0	54.97276	-8.0	0.75	20.31
55.0	54.97276	-8.0	0.5	16.740000000000002
55.0	54.97276	-8.5	6.0	27.36
55.0	54.97276	-8.5	5.75	27.31
55.0	54.97276	-8.5	5.5	27.28
55.0	54.97276	-8.5	5.25	27.25
55.0	54.97276	-8.5	5.0	27.2
55.0	54.97276	-8.5	4.75	27.17
55.0	54.97276	-8.5	4.5	27.12
55.0	54.97276	-8.5	4.25	27.06
55.0	54.97276	-8.5	4.0	26.990000000000002
55.0	54.97276	-8.5	3.75	26.92
55.0	54.97276	-8.5	3.5	26.83
55.0	54.97276	-8.5	3.25	26.740000000000002
55.0	54.97276	-8.5	3.0	26.61
55.0	54.97276	-8.5	2.75	26.48
55.0	54.97276	-8.5	2.5	26.31
55.0	54.97276	-8.5	2.25	26.07
55.0	54.97276	-8.5	2.0	25.77
55.0	54.97276	-8.5	1.75	25.35
55.0	54.97276	-8.5	1.5	24.759999999999998
55.0	54.97276	-8.5	1.25	23.83
55.0	54.97276	-8.5	1.0	22.37
55.0	54.97276	-8.5	0.75	20.12
55.0	54.97276	-8.5	0.5	16.54
55.0	54.97276	-9.0	6.0	26.86
55.0	54.97276	-9.0	5.75	26.82
55.0	54.97276	-9.0	5.5	26.8
55.0	54.97276	-9.0	5.25	26.759999999999998
55.0	54.97276	-9.0	5.0	26.72
55.0	54.97276	-9.0	4.75	26.68
55.0	54.97276	-9.0	4.5	26.64
55.0	54.97276	-9.0	4.25	26.58
55.0	54.97276	-9.0	4.0	26.5
55.0	54.97276	-9.0	3.75	26.44
55.0	54.97276	-9.0	3.5	26.35
55.0	54.97276	-9.0	3.25	26.259999999999998
55.0	54.97276	-9.0	3.0	26.14
55.0	54.97276	-9.0	2.75	26.0
55.0	54.97276	-9.0	2.5	25.83
55.0	54.97276	-9.0	2.25	25.61
55.0	54.97276	-9.0	2.0	25.32
55.0	54.97276	-9.0	1.75	24.92
55.0	54.97276	-9.0	1.5	24.35
55.0	54.97276	-9.0	1.25	23.490000000000002
55.0	54.97276	-9.0	1.0	22.11
55.0	54.97276	-9.0	0.75	19.92
55.0	54.97276	-9.0	0.5	16.33
55.0	54.97276	-9.5	6.0	26.38
55.0	54.97276	-9.5	5.75	26.36
55.0	54.97276	-9.5	5.5	26.32
55.0	54.97276	-9.5	5.25	26.28
55.0	54.97276	-9.5	5.0	26.23
55.0	54.97276	-9.5	4.75	26.2
55.0	54.97276	-9.5	4.5	26.14
55.0	54.97276	-9.5	4.25	26.09
55.0	54.97276	-9.5	4.0	26.03
55.0	54.97276	-9.5	3.75	25.96
55.0	54.97276	-9.5	3.5	25.86
55.0	54.97276	-9.5	3.25	25.77
55.0	54.97276	-9.5	3.0	25.67
55.0	54.97276	-9.5	2.75	25.52
55.0	54.97276	-9.5	2.5	25.35
55.0	54.97276	-9.5	2.25	25.15
55.0	54.97276	-9.5	2.0	24.86
55.0	54.97276	-9.5	1.75	24.5
55.0	54.97276	-9.5	1.5	23.94
55.0	54.97276	-9.5	1.25	23.13
55.0	54.97276	-9.5	1.0	21.83
55.0	54.97276	-9.5	0.75	19.69
55.0	54.97276	-9.5	0.5	16.11
55.0	54.97276	-10.0	6.0	25.87
55.0	54.97276	-10.0	5.75	25.84
55.0	54.97276	-10.0	5.5	25.79
55.0	54.97276	-10.0	5.25	25.78
55.0	54.97276	-10.0	5.0	25.740000000000002
55.0	54.97276	-10.0	4.75	25.69
55.0	54.97276	-10.0	4.5	25.65
55.0	54.97276	-10.0	4.25	25.58
55.0	54.97276	-10.0	4.0	25.52
55.0	54.97276	-10.0	3.75	25.46
55.0	54.97276	-10.0	3.5	25.36
55.0	54.97276	-10.0	3.25	25.259999999999998
55.0	54.97276	-10.0	3.0	25.17
55.0	54.97276	-10.0	2.75	25.04
55.0	54.97276	-10.0	2.5	24.86
55.0	54.97276	-10.0	2.25	24.65
55.0	54.97276	-10.0	2.0	24.39
55.0	54.97276	-10.0	1.75	24.03
55.0	54.97276	-10.0	1.5	23.52
55.0	54.97276	-10.0	1.25	22.740000000000002
55.0	54.97276	-10.0	1.0	21.49
55.0	54.97276	-10.0	0.75	19.43
55.0	54.97276	-10.0	0.5	15.9
55.0	54.97276	-10.5	6.0	25.38
55.0	54.97276	-10.5	5.75	25.35
55.0	54.97276	-10.5	5.5	25.31
55.0	54.97276	-10.5	5.25	25.29
55.0	54.97276	-10.5	5.0	25.240000000000002
55.0	54.97276	-10.5	4.75	25.2
55.0	54.97276	-10.5	4.5	25.15
55.0	54.97276	-10.5	4.25	25.1
55.0	54.97276	-10.5	4.0	25.05
55.0	54.97276	-10.5	3.75	24.98
55.0	54.97276	-10.5	3.5	24.89
55.0	54.97276	-10.5	3.25	24.78
55.0	54.97276	-10.5	3.0	24.68
55.0	54.97276	-10.5	2.75	24.55
55.0	54.97276	-10.5	2.5	24.39
55.0	54.97276	-10.5	2.25	24.18
55.0	54.97276	-10.5	2.0	23.92
55.0	54.97276	-10.5	1.75	23.57
55.0	54.97276	-10.5	1.5	23.08
55.0	54.97276	-10.5	1.25	22.34
55.0	54.97276	-10.5	1.0	21.16
55.0	54.97276	-10.5	0.75	19.15
55.0	54.97276	-10.5	0.5	15.66
55.0	54.97276	-11.0	6.0	24.87
55.0	54.97276	-11.0	5.75	24.83
55.0	54.97276	-11.0	5.5	24.81
55.0	54.97276	-11.0	5.25	24.759999999999998
55.0	54.97276	-11.0	5.0	24.73
55.0	54.97276	-11.0	4.75	24.7
55.0	54.97276	-11.0	4.5	24.64
55.0	54.97276	-11.0	4.25	24.62
55.0	54.97276	-11.0	4.0	24.53
55.0	54.97276	-11.0	3.75	24.46
55.0	54.97276	-11.0	3.5	24.4
55.0	54.97276	-11.0	3.25	24.27
55.0	54.97276	-11.0	3.0	24.19
55.0	54.97276	-11.0	2.75	24.04
55.0	54.97276	-11.0	2.5	23.89
55.0	54.97276	-11.0	2.25	23.68
55.0	54.97276	-11.0	2.0	23.44
55.0	54.97276	-11.0	1.75	23.09
55.0	54.97276	-11.0	1.5	22.63
55.0	54.97276	-11.0	1.25	21.9
55.0	54.97276	-11.0	1.0	20.78
55.0	54.97276	-11.0	0.75	18.85
55.0	54.97276	-11.0	0.5	15.379999999999999
55.0	54.97276	-11.5	6.0	24.38
55.0	54.97276	-11.5	5.75	24.36
55.0	54.97276	-11.5	5.5	24.32
55.0	54.97276	-11.5	5.25	24.28
55.0	54.97276	-11.5	5.0	24.25
55.0	54.97276	-11.5	4.75	24.2
55.0	54.97276	-11.5	4.5	24.16
55.0	54.97276	-11.5	4.25	24.1
55.0	54.97276	-11.5	4.0	24.06
55.0	54.97276	-11.5	3.75	23.98
55.0	54.97276	-11.5	3.5	23.9
55.0	54.97276	-11.5	3.25	23.8
55.0	54.97276	-11.5	3.0	23.69
55.0	54.97276	-11.5	2.75	23.58
55.0	54.97276	-11.5	2.5	23.42
55.0	54.97276	-11.5	2.25	23.22
55.0	54.97276	-11.5	2.0	22.97
55.0	54.97276	-11.5	1.75	22.62
55.0	54.97276	-11.5	1.5	22.18
55.0	54.97276	-11.5	1.25	21.48
55.0	54.97276	-11.5	1.0	20.39
55.0	54.97276	-11.5	0.75	18.53
55.0	54.97276	-11.5	0.5	15.15
55.0	54.97276	-12.0	6.0	23.9
55.0	54.97276	-12.0	5.75	23.85
55.0	54.97276	-12.0	5.5	23.82
55.0	54.97276	-12.0	5.25	23.78
55.0	54.97276	-12.0	5.0	23.72
55.0	54.97276	-12.0	4.75	23.7
55.0	54.97276	-12.0	4.5	23.65
55.0	54.97276	-12.0	4.25	23.61
55.0	54.97276	-12.0	4.0	23.54
55.0	54.97276	-12.0	3.75	23.48
55.0	54.97276	-12.0	3.5	23.39
55.0	54.97276	-12.0	3.25	23.3
55.0	54.97276	-12.0	3.0	23.2
55.0	54.97276	-12.0	2.75	23.07
55.0	54.97276	-12.0	2.5	22.92
55.0	54.97276	-12.0	2.25	22.72
55.0	54.97276	-12.0	2.0	22.47
55.0	54.97276	-12.0	1.75	22.14
55.0	54.97276	-12.0	1.5	21.7
55.0	54.97276	-12.0	1.25	21.04
55.0	54.97276	-12.0	1.0	20.0
55.0	54.97276	-12.0	0.75	18.19
55.0	54.97276	-12.0	0.5	14.870000000000001
55.0	54.97276	-12.5	6.0	23.39
55.0	54.97276	-12.5	5.75	23.36
55.0	54.97276	-12.5	5.5	23.32
55.0	54.97276	-12.5	5.25	23.31
55.0	54.97276	-12.5	5.0	23.25
55.0	54.97276	-12.5	4.75	23.22
55.0	54.97276	-12.5	4.5	23.16
55.0	54.97276	-12.5	4.25	23.12
55.0	54.97276	-12.5	4.0	23.06
55.0	54.97276	-12.5	3.75	22.98
55.0	54.97276	-12.5	3.5	22.92
55.0	54.97276	-12.5	3.25	22.82
55.0	54.97276	-12.5	3.0	22.72
55.0	54.97276	-12.5	2.75	22.58
55.0	54.97276	-12.5	2.5	22.42
55.0	54.97276	-12.5	2.25	22.240000000000002
55.0	54.97276	-12.5	2.0	21.99
55.0	54.97276	-12.5	1.75	21.68
55.0	54.97276	-12.5	1.5	21.23
55.0	54.97276	-12.5	1.25	20.59
55.0	54.97276	-12.5	1.0	19.59
55.0	54.97276	-12.5	0.75	17.87
55.0	54.97276	-12.5	0.5	14.6
55.0	54.97276	-13.0	6.0	22.86
55.0	54.97276	-13.0	5.75	22.84
55.0	54.97276	-13.0	5.5	22.82
55.0	54.97276	-13.0	5.25	22.78
55.0	54.97276	-13.0	5.0	22.740000000000002
55.0	54.97276	-13.0	4.75	22.7
55.0	54.97276	-13.0	4.5	22.66
55.0	54.97276	-13.0	4.25	22.59
55.0	54.97276	-13.0	4.0	22.54
55.0	54.97276	-13.0	3.75	22.47
55.0	54.97276	-13.0	3.5	22.4
55.0	54.97276	-13.0	3.25	22.3
55.0	54.97276	-13.0	3.0	22.2
55.0	54.97276	-13.0	2.75	22.07
55.0	54.97276	-13.0	2.5	21.92
55.0	54.97276	-13.0	2.25	21.73
55.0	54.97276	-13.0	2.0	21.49
55.0	54.97276	-13.0	1.75	21.18
55.0	54.97276	-13.0	1.5	20.74
55.0	54.97276	-13.0	1.25	20.13
55.0	54.97276	-13.0	1.0	19.16
55.0	54.97276	-13.0	0.75	17.48
55.0	54.97276	-13.0	0.5	14.29
